,following,len_name,num_tweets,screen_name
0,1216,11,76808,Feliciaaa_O
1,675,15,25223,CandaceTheAngel
2,1779,14,52009,subomiplumptre
3,674,13,30987,zachyofficial
4,667,6,36703,rabois
5,5300,15,19956,_DanielSinclair
6,762,9,46316,OkiLegend
7,292,13,3287,MakingCentsPC
8,101,10,13167,Nia__imani
9,327,11,129338,brainpicker
10,100,11,4548,Slum2School
11,43,8,117,itsnemie
12,486,12,80859,wildhormoans
13,1259,6,3079,temite
14,43,10,2298,glory_osei
15,2637,9,9162,CJFDillow
16,671,7,22133,busanga
17,1283,11,36660,Jaaytunechi
18,324,14,736,NigeriaNumeric
19,337,11,34270,LALAALAKIJA
20,190,9,5957,_KBoateng
21,454,8,5282,Bertdora
22,968,8,65720,Its_Deji
23,297,6,11806,toluL_
24,2493,14,26985,dkskinjermaine
25,394,15,4562,SophieChandauka
26,19444,6,83,pmarca
27,258,11,47,moni_owoade
28,849,13,78214,BaldingsWorld
29,285,7,7702,minkyxo
30,1642,9,10435,typesfast
31,136,6,653,AfCfta
32,219,11,6692,jacquieotag
33,2149,11,5910,AubreyHruby
34,621,13,40142,NnekaJennifer
35,212,6,298,atrium
36,260,10,7300,KuperSimon
37,2113,14,6801,siobhan_ogrady
38,218,8,7217,waitwait
39,234,7,16412,A_zayyy
40,2560,5,16231,osaeB
41,1366,12,16013,laphamsquart
42,953,7,3187,Wimbart
43,187,11,355,ChakaStocks
44,1961,10,42133,maxImeaner
45,994,15,2675,EmmanuelFreuden
46,747,14,8632,ShoutsAndMiras
47,565,6,28400,kopalo
48,1050,13,18013,ChibunduOnuzo
49,429,7,35363,PeejOPJ
50,210,14,3735,TokunboAkerele
51,80,10,1666,Camusredux
52,420,5,14664,paulg
53,161,9,6684,Ifawemimo
54,159,6,2663,fahims
55,421,10,7823,Ibrahimaa_
56,668,9,22558,cyberomin
57,225,15,534,LagosUrbanDevIn
58,401,12,9193,BintzRealist
59,280,11,30717,DamiAdewuyi
60,119,14,41768,overlyxclusive
61,1870,10,11643,royafrisoc
62,2717,15,17877,africaarguments
63,252,14,108154,prepaid_africa
64,675,11,434474,daily_trust
65,0,11,763,ProfFeynman
66,233,13,606,P0dSaveAfrica
67,440,13,1687,MartinEigbike
68,170,12,13151,ameerabourgi
69,981,9,30065,qikipedia
70,7,14,2500,TheAncientSage
71,3368,10,70730,techreview
72,982,12,72790,Morountodun_
73,277,11,4099,Iredeadunni
74,2153,15,95966,aChildOf2Worlds
75,655,9,14984,folabilaw
76,462,12,1152,cruelsantino
77,62,10,18863,docolumide
78,214,11,2382,AVCA_Africa
79,82,13,834,MoMoneyyyyy__
80,1887,10,3311,HausmanLLC
81,702,13,5843,DolapoOmidire
82,231,11,746,DamiAdepoju
83,0,12,1,PedrosAfrica
84,582,14,19198,peculiarjimjam
85,58,11,1223,senisulyman
86,721,11,15078,MaryamDWHxo
87,1075,4,26365,mims
88,357,8,11016,DelsAkin
89,824,3,21335,shl
90,504,15,2320,OlumbeAKinkugbe
91,437,11,10699,EbukaNweke_
92,193,9,15889,shezinxir
93,414,7,19663,Tobs_OF
94,37,15,7731,LagosCapitalist
95,301,7,1018,addozie
96,2259,6,62419,alkayy
97,793,10,95900,Mochievous
98,84,8,1601,RayDalio
99,133,13,1990,CrazyPolymath
100,209,7,2072,tayooye
101,395,9,28675,bukssssss
102,437,7,5373,DamiAdy
103,300,8,3431,mbmalabu
104,117,5,37373,O_rae
105,804,9,17411,adeyeni__
106,646,12,31930,kemiadeyemii
107,1589,10,2628,nevinomics
108,388,8,8237,OyihomaX
109,582,7,62739,MobayoO
110,138,9,473,TNussinov
111,8784,14,1515,theycallmeTUNE
112,245,8,18638,stepmoyo
113,553,10,10858,fayoscosco
114,59,13,3617,dbrownAnalyst
115,233,11,15550,manlikedami
116,737,11,5693,ade_olopade
117,310,7,3587,tomie_a
118,82,13,6365,LifeMathMoney
119,47,12,15,ProjectWigan
120,66,14,199,TheNewPractice
121,475,10,30675,tweetsbymo
122,405,12,2007,ndidiNwuneli
123,353,9,10069,AmakaAnku
124,127,14,4262,ChisAdventures
125,353,15,8452,sbmintelligence
126,822,11,34960,_Simisola_O
127,536,5,102173,Pr1y3
128,215,13,583,ife__michelle
129,214,6,28099,Tuedss
130,311,8,5928,sade_ona
131,438,13,23085,registability
132,990,9,27077,Afrocheri
133,781,11,12273,RyanHoliday
134,2405,10,161756,OgbeniDipo
135,565,7,12827,BukayoA
136,1611,6,8309,madayo
137,1023,7,32653,_Affi_A
138,442,8,163351,Punthief
139,883,9,51041,MODiyaolu
140,377,8,15548,tunde_oo
141,368,10,18529,kingpam___
142,365,8,10627,TFL__tfl
143,590,9,12727,koyegbeke
144,985,11,16227,NosaAguebor
145,215,14,1260,ChroniclesofLA
146,645,8,8311,saaam_am
147,3524,10,53562,molarawood
148,672,6,140,the868
149,4798,8,12700,Ekanem__
150,281,14,3499,delectableseun
151,118,11,38463,tobi_lawson
152,182,8,900,JimiDemi
153,168,5,3181,_RMOx
154,576,7,44859,Koffss_
155,680,6,92256,Jaiyee
156,152,8,2497,WeMoveCo
157,53,13,1674,scalemyhustle
